state,action_date,naics_description,transaction_description,total_dollars_obligated,current_total_value_of_award,potential_total_value_of_award,object,program
TEXAS,2020,CORRECTIONAL INSTITUTIONS,FY20 TO FOR DETENTION AND TRANSPORTATION SERVICES - SOUTH TEXAS ICE PROCESSING CENTER (STIPC),51958016.26,51958016.26,51958016.26,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
TEXAS,2022,CORRECTIONAL INSTITUTIONS,FUNDING MOD FOR RIO GRANDE FACILITY WITH GEO GROUP UNDER DOJ NUMBER ODT-7-C-0003. (POP 4/1/22 - 3/31/23)  COR:  JOSE LONGORIA,2157717.92,2157717.92,2157717.92,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
WASHINGTON,2022,FACILITIES SUPPORT SERVICES,"THIS MODIFICATION IS TO ADD FUNDING FOR DETENTION SERVICES AT NORTHWEST DETENTION CENTER, TACOMA",60828393.62,60828393.62,60828393.62,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,ADD FUNDING FOR DETENTION SERVICES IN THE LOS ANGELES AREA OF RESPONSIBILITY,96008070.95,96008070.95,96008070.95,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2022,CORRECTIONAL INSTITUTIONS,SOUTH TEXAS DETENTION COMPLEX NEW TASK ORDER - POP 06 AUG 2022  - 05 AUG 2023.,8216352.44,8216352.44,8216352.44,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
WASHINGTON,2022,FACILITIES SUPPORT SERVICES,"THIS MODIFICATION IS TO ADD FUNDING FOR DETENTION SERVICES AT NORTHWEST DETENTION CENTER, TACOMA",60328393.62,60328393.62,60328393.62,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2022,FACILITIES SUPPORT SERVICES,"THIS MODIFICATION IS TO INCORPORATE VIRTUAL ATTORNEY VISITATION, AND TRANSGENDER CARE FOR DETENTION SERVICES AT AURORA, DENVER, CO",0.0,,469388589.68,,
TEXAS,2022,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CENTER DETENTION SERVICES,39322231.47,39322231.47,39322231.47,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
FLORIDA,2022,SECURITY GUARDS AND PATROL SERVICES,MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES,34480848.58,38106456.52,38106456.52,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
FLORIDA,2022,SECURITY GUARDS AND PATROL SERVICES,MIA AOR DETENTION AND TRANSPORTATION SERVICES,21768796.3,38920596.42,38920596.42,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0000: UNKNOWN/OTHER;0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,TO ADD FUNDING FOR DETENTION SERVICES IN THE LOS ANGELES AREA OF RESPONSIBILITY,110770133.61,110770133.61,110770133.61,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
COLORADO,2022,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",46180315.09,46180315.09,46180315.09,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2022,SECURITY GUARDS AND PATROL SERVICES,MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES,0.0,,202791712.82,,
TEXAS,2022,CORRECTIONAL INSTITUTIONS,SOUTH TEXAS DETENTION COMPLEX NEW TASK ORDER - POP 06 AUG 2022  - 05 AUG 2023.,8210852.44,8210852.44,8210852.44,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
WASHINGTON,2022,FACILITIES SUPPORT SERVICES,"THIS MODIFICATION IS TO ADD FUNDING FOR DETENTION SERVICES AT NORTHWEST DETENTION CENTER, TACOMA",60291310.25,60291310.25,60291310.25,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
